State,Keyword,Match type,Status,Suggested bid (low)(USD),Suggested bid (median)(USD),Suggested bid (high)(USD),Keyword bid(USD),Impressions,Clicks,CTR(%),Spend(USD),CPC(USD),Orders,Sales(USD),ACoS(%)
ENABLED,lunch bags men,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,2695,29,1.0760667903525045,17.28,0.60,1,34.98,49.39965694682677
ENABLED,lunch box,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.34,0.46,0.63,0.55,2538,11,0.43341213553979513,4.61,0.42,0,0.00,
ENABLED,meal prep bag,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.66,0.80,1.00,0.80,1896,9,0.4746835443037975,4.28,0.48,0,0.00,
ENABLED,lunch totes,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.38,0.46,0.68,0.75,1077,4,0.3714020427112349,2.48,0.62,0,0.00,
ENABLED,cooler bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.40,0.55,0.80,0.75,997,4,0.4012036108324975,2.49,0.62,0,0.00,
ENABLED,lunch boxes adults,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,835,6,0.718562874251497,3.34,0.56,0,0.00,
ENABLED,lunch box man,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,743,7,0.9421265141318977,4.45,0.64,0,0.00,
ENABLED,lunch boxs,EXACT,TARGETING_CLAUSE_STATUS_LIVE,0.75,0.75,0.75,0.75,742,9,1.2129380053908356,5.49,0.61,0,0.00,
ENABLED,woman lunch bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.44,0.59,0.75,0.75,710,4,0.5633802816901409,2.60,0.65,0,0.00,
ENABLED,large lunch bag,BROAD,TARGETING_CLAUSE_STATUS_LIVE,0.39,0.54,0.69,0.75,657,5,0.76103500761035,2.40,0.48,0,0.00,
ENABLED,cooler for lunch box,EXACT,TARGETING_CLAUSE_STATUS_LIVE,1.00,1.00,1.00,1.00,639,6,0.9389671361502347,3.57,0.60,0,0.00,
